operator_name,bert,inceptionv3
stack,0.11273,0.64767
detach_,0.11777,0.09223
to,0.13493,0.14141
select,0.16209,0.55311
torch::autograd::GraphRoot,0.16595,0.40709
item,0.18779,0.05122
is_nonzero,0.19512,0.12773
size,0.20065,0.41832
is_complex,0.23113,0.21294
unsqueeze,0.32796,0.14627
LogSoftmaxBackward,0.34557,2.26904
NllLossBackward,0.3746,5.45242
ones_like,0.39264,1.1606
empty,0.39655,0.32158
mul,0.51267,6.8909
slice,0.55676,0.24603
random_,0.559,0.88981
view,0.69992,0.39923
is_floating_point,0.70556,1.73141
permute,0.74817,0.27362
log_softmax,0.83873,6.60092
TBackward,0.97145,0.55619
nll_loss,0.99835,1.08586
AddmmBackward,1.28034,11.05652
t,1.44207,1.31898
addcmul_,1.83604,0.66374
ViewBackward,2.08807,0.75291
addmm,2.65457,10.14539
zeros_like,2.70456,0.75653
zero_,2.97208,1.11571
sqrt,3.51652,1.66734
add_,4.07999,2.51212
addcdiv_,4.38275,2.17482
mul_,4.90503,3.18822
add,5.81165,65.78059
torch::autograd::AccumulateGrad,5.96796,5.34351
div,6.14283,9.06304
dropout,9.05565,3.37682
contiguous,9.26408,0.87481
