operator,speedup,cpu_avg_dur,gpu_avg_dur,cpu_tol_dur,gpu_tol_dur
size,0.10051611571150695,0.2548067484669133,2.534984033786568,1910.541000004916,24609.625
detach_,0.13646149395902044,1.4380878049352137,10.538414634146342,294.80800001171883,2160.375
set_,0.18614643603984768,6.341118081196225,34.065213474400366,5155.329000012531,27695.018554687496
is_complex,0.18720124087058293,0.5874058363325427,3.1378308904406866,1952.5369999693721,10307.774475097656
unsqueeze,0.19917305960022108,3.589250922516561,18.02076510608856,14590.30500002982,73254.41015625
as_strided,0.22719700744494242,0.7857341353718273,3.458382415368026,5943.292999952502,26159.20458984375
slice,0.2375706954615801,4.484623550946065,18.87700645162828,7350.2980000006,30939.41357421875
any,0.2391783682040751,14.20804797052554,59.40356595460486,11551.143000037264,48295.09912109375
to,0.25956241295321647,13.265996977027248,51.10908326860989,65825.8770000092,209751.677734375
empty_like,0.30408475996666073,5.736438356172786,18.864603266542257,5443.880000007974,18638.22802734375
narrow,0.31539576926714125,8.135846153859838,25.795673076923077,105.76600000017788,335.34375
empty_strided,0.3182561915309252,2.642864500596516,8.304204508585991,10981.101999978524,27594.87158203125
permute,0.34282233672373036,7.187916359163992,20.96688456142374,5843.776000000325,17046.0771484375
item,0.3661094593226326,5.296690853655393,14.467506148175495,8686.572999994845,23726.710083007812
torch::autograd::GraphRoot,0.3664974617549611,0.6942307689012244,1.8942307692307692,9.024999995715916,24.625
is_nonzero,0.3716628842169774,8.867729397288805,23.859604426122385,7209.463999995799,19397.8583984375
copy_,0.4370476630758327,31.94780479382818,73.09913195505378,157279.04300001613,299048.548828125
stride,0.4514632121874453,0.8882596154099491,1.967512726244344,92.37900000263471,3478.5625
eq,0.458945636093793,43.15089052888327,94.02179067689114,35081.67399998209,76439.7158203125
view,0.4691756929846706,6.581678815450382,14.02817518866099,5778.7139999654355,13593.3017578125
clone,0.4847616862806406,34.9372275522747,72.07093411266143,28403.96599999933,58593.66943359374
_local_scalar_dense,0.5208474270618945,3.6443006097750414,6.996867835812452,5976.653000031068,11474.863250732422
eq_out,0.5496438959139947,33.98766174662359,61.835784949646374,27631.969000004978,50272.4931640625
detach,0.5508717948726068,3.3568750000049477,6.09375,53.71000000007916,97.5
empty,0.5617326538216316,3.509723663237003,6.248032118765618,24220.602999998555,43442.567321777344
sub_,0.6468082523604339,20.220926199226245,31.26262864679428,16439.612999970937,25416.51708984375
resize_,0.66270280645834,2.4139928367002703,3.6426476743040967,5054.901000050366,8669.50146484375
TBackward,0.7347227823581564,12.729307692426328,17.325320512820515,496.4430000046268,675.6875000000001
stack,0.7498749328194568,8592.92861538449,11459.149038461539,111708.07199999837,148968.9375
random_,0.7757907844153403,23.162000000000006,29.855987548828125,23.162000000000006,29.855987548828125
resize_as_,0.7808803088518174,4.537615384449824,5.810897435897436,235.95599999139083,226.625
cat,0.8055449745296044,8407.319923076568,10436.810096153846,109295.15899999539,135678.53125
_cat,0.8057426460954761,8397.124461538437,10421.596153846154,109162.61799999968,135480.75
nll_loss_forward,0.8299627996147151,41.61784615375711,50.14423076923077,541.0319999988424,651.875
is_floating_point,0.8645964992415079,1.8170714285860632,2.1016409737723216,25.439000000204885,29.422973632812504
nll_loss,0.9073616147190705,48.8448461538915,53.83173076923077,634.9830000005895,699.8125
contiguous,0.969333758172089,86.50944344996847,89.24629181707522,106320.10600001125,132887.728515625
transpose,1.0764285871665116,6.266056410294289,5.821153846153846,1221.8810000073863,1135.125
expand,1.18032563253479,6.8776666665007955,5.826923076923077,268.22899999353103,227.25
t,1.2106229980239978,17.24982564107527,14.248717948717948,3363.7160000096774,2778.5
