operator,speedup,cpu_avg_dur,gpu_avg_dur,cpu_tol_dur,gpu_tol_dur
detach_,0.12787587975807863,1.3026503198916641,10.18683368869936,610.9430000291904,4777.625
size,0.1330357831660045,0.2939985419286517,2.209920781702731,2620.99700129393,35847.125
is_nonzero,0.15447370005477892,3.622547355553622,23.450900407441573,2945.1310000650947,19065.58203125
_local_scalar_dense,0.1701066274308058,1.1770987806298123,6.919770254739901,1930.4420002328923,11348.423217773438
unsqueeze,0.18460879557156756,3.341147601534699,18.0985287899754,13581.76500023855,73570.51953125
item,0.18873497919878535,2.77515182882889,14.703961293290302,4551.24899927938,24114.496520996094
slice,0.20833293399600672,4.180475289874455,20.066319854903906,6851.799000104231,32888.6982421875
as_strided,0.20972384643022848,0.7350610788540705,3.5048998545742993,5560.002000452189,26511.0625
is_complex,0.22099790520584564,0.5458744408326676,2.4700435070831097,2438.967001640359,10939.822692871094
any,0.23540219576137,13.138547355931713,55.81318947955105,10681.639000372483,45376.123046875
to,0.23878376567071943,12.259455289883435,51.34124279951724,74856.23400002826,210704.46044921875
empty,0.2570668434796218,5.8047763127789525,22.58080518750023,47982.28100143082,194285.24783325195
narrow,0.2581023815823837,6.79938461481092,26.34375,88.39199999254197,342.46875
set_,0.2946531645619423,6.072952029732416,20.610510118773064,4937.310000172454,16756.3447265625
permute,0.31800025441284274,6.653916358914159,20.924248539360395,5409.633999797211,17011.4140625
empty_strided,0.32119245707866784,2.5994529288186343,8.093131926139739,13888.876998677963,27249.5751953125
copy_,0.3487738179907224,25.416510466422107,72.87390611154821,154201.96899978293,298127.14990234375
torch::autograd::GraphRoot,0.3658222227460808,0.6331538470605245,1.7307692307692308,8.231000011786819,22.5
eq,0.43581202089767124,41.564159901313296,95.37176100764914,33791.66199976771,77537.24169921875
empty_like,0.5018974948640644,8.203704612614159,16.345378681031427,8359.575000253828,17293.41064453125
eq_out,0.5382109703387902,32.888185731699,61.10649456103936,26738.094999871286,49679.580078125
clone,0.5613387746883605,40.91520910245308,72.8886208246848,33264.06500029436,59258.44873046875
view,0.5739223232733321,7.747809795016305,13.499753330428288,6802.5770000243165,16942.1904296875
stride,0.6224508310104436,1.1375000000653717,1.8274535809018568,118.30000000679865,6889.5
TBackward,0.634899845793097,10.565384613326154,16.641025641025642,412.04999991972,649.0
sub_,0.6657803839705217,20.936134071319625,31.44600618369465,17021.076999982855,25565.60302734375
stack,0.805387142830475,8586.286538465693,10661.067307692309,111621.72500005401,138593.875
random_,0.8603108425236103,26.649,30.97601318359375,26.649,30.97601318359375
cat,0.8762973328340918,8380.315769228797,9563.32451923077,108944.10499997436,124323.21875
detach,0.8763028083230403,4.721657894845856,5.3881578947368425,179.42300000414252,204.75
_cat,0.8764555754433644,8365.627307694522,9544.838942307691,108753.15500002878,124082.90624999999
nll_loss_forward,0.9726487578264729,46.303692307681416,47.60576923076923,601.9479999998584,618.875
contiguous,1.0694525064447242,51.9616254722192,48.58712767428993,96284.89200002217,131719.703125
