operator, speedup, cpu_tol_time, gpu_tol_time, cpu_avg_time, gpu_avg_time
detach_, 0.08974456893476988, 1939.669000011636, 21613.21875, 0.9285155576886721, 10.346203326950693
unsqueeze, 0.14627094348669062, 13246.997000002277, 90564.7880859375, 4.025219386205492, 27.518926796091613
is_nonzero, 0.15922361133260013, 3261.290000021393, 20482.4521484375, 4.011426814294456, 25.193668079258916
slice, 0.18539483808440127, 6852.244000025333, 36960.27392578125, 4.115461861877077, 22.198362718186935
is_complex, 0.19512472154953087, 5214.5760002273455, 26724.32257080078, 0.4899996241521655, 2.5112124197332064
torch::autograd::GraphRoot, 0.197689969890884, 8.130000011762604, 41.125, 0.6253846162894311, 3.1634615384615383
to, 0.203971567180787, 35949.5739999859, 176247.966796875, 14.507495560930549, 71.12508748865012
any, 0.22842065262597516, 10493.056999977465, 45937.4267578125, 12.90658917586404, 56.50359994810886
set_, 0.25682542944149167, 4456.480999988116, 17352.1796875, 5.481526445249836, 21.343394449569494
item, 0.26436316323461345, 168.28699999861044, 636.5750732421875, 12.020499999900746, 45.46964808872768
eq, 0.2776784146354314, 21690.049000027197, 78112.11767578125, 26.679027060304055, 96.07886552986623
TBackward, 0.29115560919381184, 120.684000010835, 414.5, 9.283384616218077, 31.884615384615383
permute, 0.31616483833142156, 6108.734000008083, 19321.35791015625, 7.513817958189524, 23.765507884571033
ones_like, 0.3298696208055578, 193.55100000766106, 586.75, 14.888538462127773, 45.13461538461539
empty, 0.33837466322710597, 6172.313999924605, 18241.064331054688, 2.5162307378412576, 7.436226796190252
size, 0.36588968835908064, 35.76000001071952, 195.46875, 0.9169230771979365, 2.5060096153846154
view, 0.41465662689933197, 5153.174999968681, 12231.98046875, 6.23871065371511, 15.045486431426815
stack, 0.4382082874338289, 62653.0489999954, 142975.5, 4819.465307691954, 10998.115384615385
ViewBackward, 0.4383207845587928, 346.382999997586, 790.25, 8.881615384553488, 20.262820512820515
clone, 0.49879908588909977, 31088.900999969832, 62327.501953125, 38.23973062726917, 76.66359403828413
select, 0.5023906437150428, 327.5429999945918, 651.96875, 8.39853846139979, 16.717147435897434
zero_, 0.5378085168284975, 27956.563999972772, 51982.375, 13.466552986499408, 25.039679672447015
