operator, speedup, cpu_tol_time, gpu_tol_time, cpu_avg_time, gpu_avg_time
detach_,0.12787588,610.943,4777.625,1.30265032,10.18683369
is_nonzero,0.1544737,2945.131,19065.58203,3.622547356,23.45090041
unsqueeze,0.190179082,11986.807,63029.05078,3.685980012,19.38162693
slice,0.208324066,6819.777,32736.38574,4.194204797,20.13307856
to,0.216403746,37446.52,173040.0732,15.11158999,69.83053803
any,0.235402196,10681.639,45376.12305,13.13854736,55.81318948
empty,0.293015968,5608.609,19140.96707,2.286428455,7.803084823
set_,0.294653165,4937.31,16756.34473,6.07295203,20.61051012
is_complex,0.302397799,1785.998001,5906.121033,0.637173743,2.107071364
permute,0.318000254,5409.634,17011.41406,6.653916359,20.92424854
torch::autograd::GraphRoot,0.365822223,8.231000012,22.5,0.633153847,1.730769231
item,0.407222749,185.5820001,455.7260132,13.25585715,32.55185808
view,0.433017666,6201.038,13665.00293,7.278213615,16.80812168
eq,0.435812021,33791.662,77537.2417,41.5641599,95.37176101
clone,0.561338775,33264.065,59258.44873,40.9152091,72.88862082
TBackward,0.634899846,412.0499999,649,10.56538461,16.64102564
size,0.66343603,63.52399986,95.75,1.628820509,2.455128205
sub_,0.665780384,17021.077,25565.60303,20.93613407,31.44600618
contiguous,0.741241674,95080.054,128271.3281,116.9496359,157.7753113
stack,0.805387143,111621.725,138593.875,8586.286538,10661.06731
random_,0.860310843,26.649,30.97601318,26.649,30.97601318
div_,1.110702281,29520.87,26578.5625,36.31103321,32.69195879
nll_loss,1.181249859,787.746,666.875,60.59584616,51.29807692
is_floating_point,1.335204062,36.38700002,27.25201416,2.59907143,1.94657244
ones_like,1.888578786,385.0340001,203.875,29.61800001,15.68269231
t,1.965036297,1278.993,650.875,32.79469231,16.68910256
ViewBackward,2.15072164,354.79,2804.375,27.29153846,12.68947964
flatten,2.337289204,741.5049999,317.25,57.03884615,24.40384615
adaptive_avg_pool2d,2.8449471,31041.04,10910.9375,2387.772308,839.3028846
LogSoftmaxBackward,3.055973135,1592.544,521.125,122.5033846,40.08653846
relu_,3.889302468,1574306.262,404778.5625,6727.804538,1729.822917
div,4.248499979,686266.257,161531.4253,525.0698217,123.5894608
addcmul_,5.318510624,504352.368,94829.625,1020.956211,191.9628036
AdaptiveAvgPool2DBackward,5.455389922,50057.976,9175.875,3850.613538,705.8365385
add_,5.854047745,926812.839,158320,938.0696751,160.242915
addcdiv_,6.92068042,857166.929,123855.875,1735.155727,250.7203947
dropout,7.043239655,20212.337,2869.75,777.3975769,110.375
MaxPool2DWithIndicesBackward,7.439900571,3387905.663,455369.75,52121.62558,7005.688462
log_softmax,8.48044697,6716.514,792,516.6549231,60.92307692
zero_,9.346776451,367171.756,39283.25,805.2012193,86.14747807
mul_,9.880450268,1289859.436,130546.625,1305.525745,132.1322115
ReluBackward1,10.16619248,5955964.258,585859.875,25452.83871,2503.674679
zeros_like,11.11642385,68977.41,6205,907.5975,81.64473684
sqrt,13.02036259,933597.431,71702.875,1889.873342,145.1475202
max_pool2d,13.79118487,2059936.705,149366.1875,31691.33392,2297.941346
AddmmBackward,14.0971219,1541738.785,109365.5,39531.76372,2804.24359
conv2d,14.2075323,5.14E+07,3620404.719,247293.3509,17405.79192
addmm,14.89844618,1113267.768,74723.75,28545.32738,1915.99359
torch::autograd::AccumulateGrad,15.5646707,1367747.383,87875.125,2768.719399,177.8848684
NllLossBackward,15.89170344,3295.542,207.375,253.5032308,15.95192308
MkldnnConvolutionBackward / CudnnConvolutionBackward,38.57888981,2.71E+08,7037180.5,1305201.719,33832.59856
