operator,speedup,cpu_avg_dur,gpu_avg_dur,cpu_tol_dur,gpu_tol_dur
detach_,0.10839235579212103,0.9516601542363741,8.779771850899744,1850.9789999897475,17076.65625
unsqueeze,0.12883131510747425,3.273196910279178,25.406842331374143,13348.097000118487,103609.10302734375
slice,0.13061879811251073,4.0623306894813975,31.100658926460493,6658.16000006001,50973.97998046875
stride,0.13083899152222844,0.2370238149333414,1.81156864766168,8350.349000101618,15378.40625
to,0.14819665261937504,7.580508270096889,51.1516834969714,94870.06100026256,210591.48095703125
size,0.15116880188879206,0.29767653060673943,1.9691664343925035,35167.8030024108,74180.46875
is_nonzero,0.15750988873425883,3.795015990384832,24.09382687576876,3085.3480001828684,19588.28125
item,0.16842626830673613,2.8442573170929504,16.887254854527914,4664.582000032438,27695.097961425778
_local_scalar_dense,0.1772283372785139,1.251006097325243,7.058725012802496,2051.6499996133984,11576.309020996094
copy_,0.17742893180180935,13.306798122413202,74.99790472321101,165842.62499963574,306816.42822265625
is_complex,0.19349391598341156,0.4849613087597016,2.506338797759811,5602.758000100833,28890.567321777344
narrow,0.22248865432575307,6.080999999239934,27.33173076923077,79.05299999011913,355.3125
any,0.22420455376924822,11.85172570731288,52.86121761608241,9635.453000045372,42976.169921875
empty_strided,0.2484818328702015,1.8766166041243917,7.552329208327567,22491.250000430835,27286.5654296875
eq,0.25621250390152983,25.50751537511945,99.55609108337177,20737.609999972112,80939.10205078125
eq_out,0.25947831063993976,17.599111930945128,67.82498270295203,14308.07799985839,55141.7109375
permute,0.2699223808807136,6.9192214022155625,25.634115183925278,5625.327000001253,20840.53564453125
set_,0.27214557068157447,5.583086100951962,20.515072455412053,4539.0490000739455,16678.75390625
as_strided,0.27811761217130593,0.9603960144497006,3.4532009927445615,108581.4129976687,25715.98779296875
torch::autograd::GraphRoot,0.32591469162165837,0.6612307685785569,2.0288461538461537,8.59599999152124,26.375
TBackward,0.5897543091597048,10.363230769128467,17.572115384615383,134.72199999867007,228.43749999999997
