operator, speedup, cpu_tol_time, gpu_tol_time, cpu_avg_time, gpu_avg_time
detach_, 0.13646149395902046, 294.80800001171883, 2160.375, 1.4380878049352137, 10.538414634146342
set_, 0.18614643603984765, 5155.329000012531, 27695.0185546875, 6.341118081196225, 34.065213474400366
to, 0.2034462928922754, 35173.676000035724, 172889.2451171875, 14.194380952395369, 69.76967115302159
unsqueeze, 0.20475624510005888, 13042.097000028498, 63695.72265625, 4.010484932358087, 19.586630583102707
slice, 0.23701806554692953, 7296.077000001454, 30782.78857421875, 4.4871322263231574, 18.931604289187423
any, 0.2391783682040751, 11551.143000037264, 48295.09912109375, 14.20804797052554, 59.40356595460486
item, 0.2972384068690265, 136.6940000022873, 459.8800048828125, 9.763857143020521, 32.84857177734375
is_complex, 0.30495478766777817, 1256.800000014761, 4121.266662597656, 0.7575647980800247, 2.4841872589497624
permute, 0.34282233672373036, 5843.776000000325, 17046.0771484375, 7.187916359163992, 20.96688456142374
empty, 0.3519722311469428, 6090.694000020338, 17304.473083496094, 2.4829571952793876, 7.054412182428085
torch::autograd::GraphRoot, 0.36649746175496106, 9.024999995715916, 24.625, 0.6942307689012244, 1.8942307692307692
is_nonzero, 0.3716628842169774, 7209.463999995799, 19397.8583984375, 8.867729397288805, 23.859604426122385
view, 0.4152643852214096, 5369.223999968355, 12337.8017578125, 6.301906103249244, 15.175647918588561
eq, 0.458945636093793, 35081.67399998209, 76439.7158203125, 43.15089052888327, 94.02179067689114
size, 0.46634800839911467, 41.70900000119582, 89.4375, 1.0694615384922004, 2.293269230769231
clone, 0.4847616862806405, 28403.965999999327, 58593.66943359375, 34.9372275522747, 72.07093411266143
sub_, 0.6468082523604338, 16439.612999970937, 25416.51708984375, 20.220926199226245, 31.26262864679428
TBackward, 0.7347227823581564, 496.4430000046268, 675.6875, 12.729307692426328, 17.325320512820515
stack, 0.7498749328194567, 111708.07199999836, 148968.9375, 8592.92861538449, 11459.149038461539
random_, 0.7757907844153403, 23.162000000000006, 29.855987548828125, 23.162000000000006, 29.855987548828125
contiguous, 0.805228532069729, 105913.15100001408, 131531.791015625, 130.27447847480207, 161.7857208064268
is_floating_point, 0.864596499241508, 25.439000000204885, 29.4229736328125, 1.8170714285860632, 2.1016409737723216
nll_loss, 0.9073616147190705, 634.9830000005895, 699.8125, 48.8448461538915, 53.83173076923077
div_, 1.1525950432017782, 30116.502000006552, 26129.30029296875, 37.043667896687026, 32.1393607539591
flatten, 1.2627903256470268, 414.4319999982836, 328.1875, 31.879384615252583, 25.245192307692307
ones_like, 1.2826325660881104, 282.09900000400376, 219.9375, 21.69992307723106, 16.91826923076923
ViewBackward, 1.7018830666842222, 298.0600000016857, 1050.8125, 22.927692307821978, 13.471955128205128
t, 1.7743258238682502, 1191.2379999995464, 671.375, 30.544564102552474, 17.21474358974359
adaptive_avg_pool2d, 1.903077232704617, 11347.098000001279, 5962.5, 872.8536923077907, 458.65384615384613
LogSoftmaxBackward, 2.308065603642909, 1266.5509999990463, 548.75, 97.42699999992664, 42.21153846153846
AdaptiveAvgPool2DBackward, 2.3738933383785312, 14116.060000000638, 5946.375, 1085.8507692308183, 457.41346153846155
relu_, 2.502059321428821, 39425.886999999464, 15757.375, 433.2515054944996, 173.15796703296704
div, 2.574699068126177, 321964.6349999888, 125049.423828125, 315.3424436826531, 122.47739846045543
MaxPool2DWithIndicesBackward, 3.729359542651942, 183757.4320000034, 49273.1875, 4711.729025641113, 1263.4150641025642
addcmul_, 4.935624715917544, 197492.54500000086, 40013.6875, 949.483389423081, 192.37349759615384
conv2d, 5.251345297336896, 2034892.035999993, 387499.1875, 31306.031323076815, 5961.525961538461
add_, 5.348231664102027, 354770.60199998086, 66334.1875, 852.8139471153386, 159.4571814903846
dropout, 5.412220782831758, 17024.81699999515, 3145.625, 654.8006538459673, 120.98557692307692
addcdiv_, 6.233103510000233, 325584.2140000153, 52234.6875, 1565.3087211539196, 251.12830528846155
log_softmax, 7.680478883806459, 6399.279000001494, 833.1875, 492.25223076934566, 64.09134615384616
mul_, 8.264966367638756, 455533.4359999716, 55116.1875, 1095.0322980768547, 132.49083533653845
zero_, 8.378705375083458, 146469.19600000582, 17481.125, 762.8603958333637, 91.04752604166667
ReluBackward1, 8.795356189377156, 181071.646999993, 20587.1875, 1989.7983186812419, 226.23282967032966
NllLossBackward, 9.335755916731392, 2046.280999998562, 219.1875, 157.40623076912016, 16.860576923076923
torch::autograd::AccumulateGrad, 10.395758610811363, 387823.52100001555, 37305.9375, 1864.536158653921, 179.35546875
zeros_like, 11.178458898045289, 30774.99599999981, 2753.0625, 961.7186249999941, 86.033203125
addmm, 11.989304545205124, 450617.26200000057, 37584.9375, 11554.288769230783, 963.7163461538462
sqrt, 13.211081856419188, 392417.8469999954, 29703.6875, 1886.624264423055, 142.80618990384616
AddmmBackward, 14.40383625252987, 828222.3849999992, 57500.125, 21236.47141025639, 1474.3621794871794
max_pool2d, 15.063280867684867, 211622.14999999624, 14048.875, 5426.208974358878, 360.2275641025641
MkldnnConvolutionBackward/CudnnConvolutionBackward, 17.44605708756, 4687947.148000005, 268748.6875, 72122.2638153847, 4134.595192307693
