operator, speedup, cpu_tol_time, gpu_tol_time, cpu_avg_time, gpu_avg_time
detach_, 0.10839235579212105, 1850.9789999897475, 17076.65625, 0.9516601542363741, 8.779771850899744
unsqueeze, 0.123977046206756, 11649.082000181861, 93961.60302734375, 3.5821285363412856, 28.893481865726862
slice, 0.13040355129590225, 6625.594000066945, 50808.38623046875, 4.07478105785175, 31.247470006438345
is_nonzero, 0.1575098887342588, 3085.3480001828684, 19588.28125, 3.795015990384832, 24.09382687576876
is_complex, 0.2101290143955577, 5009.204000115757, 23838.706970214844, 0.5065942556751372, 2.410872468670595
any, 0.22420455376924825, 9635.453000045372, 42976.169921875, 11.85172570731288, 52.86121761608241
to, 0.22557880793581128, 39072.11100023159, 173208.251953125, 15.767599273701206, 69.89840676074455
eq, 0.25621250390152983, 20737.609999972112, 80939.10205078125, 25.50751537511945, 99.55609108337177
permute, 0.26992238088071363, 5625.327000001253, 20840.53564453125, 6.9192214022155625, 25.634115183925278
set_, 0.27214557068157447, 4539.0490000739455, 16678.75390625, 5.583086100951962, 20.515072455412053
empty, 0.31912496060461143, 5641.078999824327, 17676.70880126953, 2.2996653077147684, 7.20615931564188
torch::autograd::GraphRoot, 0.32591469162165837, 8.59599999152124, 26.375, 0.6612307685785569, 2.0288461538461537
view, 0.3995739632151912, 4941.0549998569595, 12171.18896484375, 5.981906779487844, 14.970712133879152
size, 0.4281512382385628, 41.04899996612221, 95.875, 1.0525384606698003, 2.4583333333333335
item, 0.498849968233912, 218.84499999552224, 438.69903564453125, 15.631785713965874, 31.335645403180802
TBackward, 0.5897543091597048, 134.72199999867007, 228.4375, 10.363230769128467, 17.572115384615383
sub_, 0.6059153516447725, 15256.373999916887, 25179.0517578125, 18.76552767517452, 30.97054336754305
clone, 0.6199742680360545, 33823.1529999191, 54555.73681640625, 41.60289421884268, 67.10422732645296
contiguous, 0.6340266611131411, 92331.24300000812, 145626.75146484375, 113.56856457565574, 179.1226955287131
ViewBackward, 0.7114694556511366, 374.1439999905415, 525.875, 9.593435897193372, 13.48397435897436
stack, 0.7691183032783248, 106565.52299998596, 138555.4375, 8197.347923075842, 10658.110576923076
flatten, 0.8704340609911868, 301.55100000463426, 346.4375, 23.196230769587252, 26.64903846153846
nll_loss, 0.9335597424198337, 733.9529999936931, 786.1875, 56.45792307643793, 60.47596153846154
ones_like, 0.9642441314186009, 231.05699999118224, 239.625, 17.773615383937095, 18.432692307692307
random_, 0.9890374051780908, 29.053999999999974, 29.37603759765625, 29.053999999999974, 29.37603759765625
div_, 1.0630905412751208, 28355.84099996457, 26673.025390625, 34.87803321028852, 32.80814931196187
addcmul_, 1.0885363935275203, 54873.93600001745, 50410.75, 26.21783850932511, 24.085403726708076
t, 1.458664300371401, 308.2339999722317, 211.3125, 23.710307690171668, 16.254807692307693
adaptive_avg_pool2d, 1.5002331201531731, 6494.977999993134, 4329.3125, 499.6136923071642, 333.02403846153845
zero_, 1.550181973295059, 72228.20999997668, 46593.375, 37.38520186334197, 24.116653726708076
AddBackward0, 1.6833882353070262, 634.953000004869, 377.1875, 3.052658653869562, 1.8134014423076923
is_floating_point, 1.713430251253453, 42.56499999956782, 24.84197998046875, 3.040357142826273, 1.7744271414620536
sqrt, 1.775406322550164, 136983.91600005142, 77156.375, 65.44859818444884, 36.864010989010985
zeros_like, 1.8131348805344458, 21171.976000000723, 11677.0, 65.7514782608718, 36.2639751552795
addcdiv_, 2.8371360196103343, 171309.1100000916, 60381.0, 81.84859531776952, 28.84902054467272
relu_, 3.9807203838709078, 1103206.1489999518, 277137.3125, 1731.8777849292806, 435.0664246467818
div, 4.1782734197718385, 644070.7080001647, 154147.5732421875, 221.63479284245173, 53.04458817693995
mul_, 4.370550902887361, 322658.6519999737, 73825.625, 77.08042331580833, 17.636317486860964
add_, 4.509652306927971, 1327933.9209997375, 294464.8125, 302.21527560303537, 67.0152053937187
torch::autograd::AccumulateGrad, 5.030598573006416, 196711.4960002699, 39103.0, 93.985425704859, 18.68275203057812
log_softmax, 5.331955737077499, 4487.173999984283, 841.5625, 345.1672307680218, 64.73557692307692
MaxPool2DWithIndicesBackward, 5.7627214985218576, 451781.5179999927, 78397.25, 34752.4244615379, 6030.557692307692
NllLossBackward, 6.372007661170276, 1871.3789999899454, 293.6875, 143.95223076845735, 22.591346153846153
ReluBackward1, 6.903355204108641, 2661882.4229999613, 385592.5625, 4178.779313971681, 605.3258437990581
batch_norm, 8.260842416469332, 4865343.955999954, 588964.625, 7061.457120464374, 854.8107764876632

NativeBatchNormBackward / CudnnBatchNormBackward, 8.973, 7345123.36300003, 818912.875, 10660.55640493473, 1188.552793904209

addmm, 9.490195931977526, 26682.279000000563, 2811.5625, 2052.4830000000434, 216.27403846153845
AddmmBackward, 9.891258417142653, 39587.28900000919, 4002.25, 3045.1760769237835, 307.86538461538464

MkldnnConvolutionBackward / CudnnConvolutionBackward, 10.001373, 3.513040761900008E7 , 3513210.5625, 50987.52920029039, 5098.99936502177

conv2d, 11.670841030105624, 1.8744451706000045E7, 1606092.625, 27205.30000870834, 2331.0488026124817
MeanBackward1, 19.483441035817336, 43544.272999987006, 2234.9375, 3349.559461537462, 171.91826923076923
max_pool2d, 23.214479281326057, 480327.88900000724, 20690.875, 36948.29915384671, 1591.6057692307693
add, 142.77577109239598, 1577069.3459998886, 8484.4375, 1758.1598060199426, 12.314132801161103
LogSoftmaxBackward, 185.60192220491382, 104377.88099998841, 562.375, 8029.067769229878, 43.25961538461539

