"operator_name","cpu_dur","gpu_dur","speedup_ratio"
"AssignAddVariableOp","4.90238","2.68357","1.82681"
"ResourceApplyAdam","147.267","7.92562","18.5812"
"ResourceApplyAdam","34.5305","3.95124","8.73917"
"ResourceApplyAdam","165.402","4.85648","34.058"
"AddV2","5.851","2.7079","2.16071"
"Pow","4.60576","3.20462","1.43723"
"Pow","3.47119","3.0279","1.1464"
"ArgMax","10.5283","4.66914","2.25486"
"Cast","5.00243","2.61967","1.90957"
"AssignAddVariableOp","4.67567","2.69033","1.73795"
"AssignAddVariableOp","4.5789","2.86186","1.59998"
"Cast","3.73057","2.6469","1.40941"
"DivNoNan","2.74567","3.13757","0.875093"
"Equal","2.95229","2.72614","1.08295"
"BiasAddGrad","13.8727","4.88095","2.8422"
"MatMul","345.622","10.292","33.5818"
"ReluGrad","59.3965","3.04157","19.5282"
"BiasAddGrad","7.45171","12.3508","0.603338"
"Mul","10.8338","4.183","2.58995"
"Tile","4.69086","3.46214","1.3549"
"DivNoNan","3.28543","3.30676","0.993549"
"GreaterEqual","6.96419","2.77338","2.51108"
"Softmax","25.5811","10.6839","2.39436"
"Cast","5.92024","2.73843","2.16191"
"SparseSoftmaxCrossEntropyWithLogits","50.8201","17.6868","2.87334"
"Cast","3.49405","2.67129","1.308"
"Sum","5.03843","3.11014","1.62"
"Sum","5.78624","2.89843","1.99634"
